Rank & Title,IMDb Rating
39. The Pianist (2002),8.5
4. The Dark Knight (2008),9
40. The Intouchables (2011),8.5
41. The Departed (2006),8.5
42. Terminator 2: Judgment Day (1991),8.5
43. Back to the Future (1985),8.5
44. Whiplash (2014),8.5
45. Rear Window (1954),8.5
46. Raiders of the Lost Ark (1981),8.5
47. The Lion King (1994),8.5
48. Gladiator (2000),8.5
49. The Prestige (2006),8.5
5. 12 Angry Men (1957),8.9
50. Apocalypse Now (1979),8.4
51. Memento (2000),8.4
52. Alien (1979),8.4
53. The Great Dictator (1940),8.4
54. Cinema Paradiso (1988),8.4
55. Avengers: Infinity War (2018),8.4
56. Grave of the Fireflies (1988),8.4
57. Sunset Boulevard (1950),8.4
58. The Lives of Others (2006),8.4
59. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4
6. Schindler's List (1993),8.9
60. Paths of Glory (1957),8.4
61. The Shining (1980),8.4
62. Django Unchained (2012),8.4
63. WALL·E (2008),8.4
64. Princess Mononoke (1997),8.4
65. Witness for the Prosecution (1957),8.4
66. American Beauty (1999),8.4
67. The Dark Knight Rises (2012),8.3
68. Oldboy (2003),8.3
69. Aliens (1986),8.3
7. The Lord of the Rings: The Return of the King (2003),8.9
70. Once Upon a Time in America (1984),8.3
71. Coco (2017),8.3
72. Das Boot (1981),8.3
73. Citizen Kane (1941),8.3
74. Braveheart (1995),8.3
75. Vertigo (1958),8.3
76. North by Northwest (1959),8.3
77. Reservoir Dogs (1992),8.3
78. Star Wars: Episode VI - Return of the Jedi (1983),8.3
79. M (1931),8.3
8. Pulp Fiction (1994),8.9
80. Your Name. (2016),8.3
81. Amadeus (1984),8.3
82. Requiem for a Dream (2000),8.3
83. Dangal (2016),8.3
84. Taare Zameen Par (2007),8.3
85. Lawrence of Arabia (1962),8.3
86. Eternal Sunshine of the Spotless Mind (2004),8.3
87. A Clockwork Orange (1971),8.3
88. 3 Idiots (2009),8.3
89. 2001: A Space Odyssey (1968),8.3
"9. The Good, the Bad and the Ugly (1966)",8.8
90. Amélie (2001),8.3
91. Toy Story (1995),8.3
92. Double Indemnity (1944),8.3
93. Taxi Driver (1976),8.3
94. Singin' in the Rain (1952),8.3
95. Inglourious Basterds (2009),8.3
96. Full Metal Jacket (1987),8.3
97. To Kill a Mockingbird (1962),8.3
98. Bicycle Thieves (1948),8.3
99. The Kid (1921),8.3
